Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Congo,distribution losses ,Africa,2.551E-05,3.82105E-05,4.44324E-05,0.000168012,6.3978E-05,0.000232623,4.51453E-05,6.05935E-05,9.98942E-05,9.41553E-05,0.000132733,0.000113693,9.67178E-05,0.00011054,7.96331E-05,9.8934E-05,0.000106542,0.000102926,0.000116648,7.02177E-05,0.000189074,0.000215661,0.000262354,0.000254535,0.000279864,0.000268848,0.00024429,0.000219565,0.000207316,0.000223051,0.000265457,0.000376062,0.00041392,0.00043319,0.00044013,0.000646746,0.000696846,0.000673027,0.000695072,0.000816668,0.000888151,0.000917204
Dem. Rep. Congo,distribution losses ,Africa,0.000674193,0.001054609,0.001047864,0.001043076,0.001050306,0.000951206,0.001001556,0.00094153,0.000832452,0.000970728,0.001527109,0.000915858,0.000605538,0.000196625,0.000196684,0.000186176,0.000158953,0.000159918,0.000154986,0.000154325,0.000129212,0.000118834,0.000228345,0.000138711,0.000657129,0.000526335,0.000296505,0.000226686,0.000482565,0.000225994,0.000223303,0.000314412,0.00023512,0.000247993,0.00100852,0.000660373,0.000622148,0.000733518,0.000648365,0.001077317,0.001197681,0.001172334
Costa Rica,distribution losses ,Central & South America,0.000479224,0.000389747,0.000527635,0.000350026,0.000412303,0.000315475,0.000443093,0.000187995,0.000402604,0.000372643,0.000392724,0.00036887,0.000334307,0.000336512,0.000361707,0.000330979,0.000331654,0.000357263,0.00034668,0.000365749,0.000345296,0.000366771,0.000496252,0.000367585,0.000572066,0.000564832,0.000537688,0.000538825,0.000569825,0.000580286,0.000552561,0.000594077,0.000592173,0.000576345,0.000588614,0.000608487,0.000533123,0.000511812,0.000520367,0.000532847,0.000540747,0.000533828
Côte d'Ivoire,distribution losses ,Africa,0.0005102,0.000576978,0.000577621,0.00054254,0.000424743,0.000454093,0.00049827,0.00054068,0.000560013,0.000466798,0.000498089,0.000440875,0.000392128,0.000357055,0.000367464,0.000429014,0.000388362,0.000405749,0.000419279,0.000545537,0.00051028,0.000482671,0.00047543,0.000479248,0.000639597,0.000714403,0.000734736,0.00075483,0.000799395,0.000803337,0.000685859,0.000765014,0.000746915,0.000894053,0.000631722,0.00091404,0.00107341,0.000827051,0.000941159,0.000984228,0.000900594,0.000881534
Croatia,distribution losses ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,0.001563255,0.001447786,0.001519746,0.001493004,0.001639367,0.001526024,0.00188757,0.001588771,0.001486308,0.001805248,0.001441559,0.001763715,0.001444126,0.001344869,0.001186642,0.001202269,0.000999097,0.001188232,0.001151832,0.001026183,0.001031792,0.001034547,0.000938802,0.000944438,0.000924524,0.0008972,0.000916048,0.000834783,0.000894372,0.00090725
Cuba,distribution losses ,Central & South America,0.001395763,0.001591467,0.001951323,0.002481682,0.002662196,0.002514244,0.00289933,0.002866539,0.003187535,0.00303021,0.002978957,0.002592193,0.00192069,0.001894839,0.002136663,0.002202631,0.002213318,0.002308601,0.002127391,0.001940631,0.001730862,0.001739962,0.001683785,0.001670778,0.001565553,0.001472982,0.001646629,0.001762457,0.001644469,0.001617855,0.001576791,0.001561973,0.001586784,0.00156619,0.001575846,0.001643071,0.001594765,0.00161496,0.001652101,0.001725418,0.00177682,0.001767418
Cyprus,distribution losses ,Europe,0.000116617,0.000133737,0.000149959,0.000126009,0.000133288,0.000121092,0.000148812,0.000139831,0.00016195,0.000141896,0.00015189,0.000169276,0.000166102,0.00012717,0.000119929,0.000103431,0.000128022,0.000147158,0.000143566,0.000151238,0.000137243,0.000170915,0.000115908,0.000110276,0.000138309,0.0001035,0.000137375,0.000127585,8.96025E-05,0.000111231,0.000125323,8.9672E-05,7.49102E-05,9.89845E-05,9.20707E-05,0.000112683,0.00013456,0.000115899,7.94446E-05,9.25859E-05,0.000124434,0.000110902
Czechia,distribution losses ,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,0.004688675,0.004470969,0.00428834,0.004428354,0.004327988,0.004040248,0.003797155,0.003617948,0.003601693,0.003371734,0.003528123,0.003301232,0.003172528,0.003036536,0.002916659,0.00273024,0.002640711,0.002544056,0.002468781,0.002289409,0.002180851,0.002047376,0.002131537,0.00208747,0.002223808,0.002144168,0.002163676,0.002134569,0.001852896
Denmark,distribution losses ,Europe,0.003591447,0.003421749,0.003347242,0.003755775,0.003735605,0.003569015,0.003502939,0.00341188,0.003379755,0.003109778,0.003377154,0.003190974,0.002348561,0.002382978,0.001623365,0.002106395,0.002748604,0.001823743,0.00187044,0.001520097,0.001535949,0.001742163,0.001451275,0.001421098,0.001175301,0.000963686,0.000974675,0.001155389,0.001273761,0.001391861,0.001494762,0.00123355,0.001175598,0.001018581,0.001050564,0.000925259,0.000958128,0.000843122,0.001049024,0.000808146,0.000550204,0.000546074
Djibouti,distribution losses ,Africa,1.40305E-05,1.53797E-05,1.59401E-05,1.70287E-05,1.7043E-05,1.71759E-05,1.87269E-05,1.751E-05,1.73755E-05,1.53168E-05,1.60921E-05,1.49443E-05,1.24367E-05,1.17095E-05,1.14844E-05,1.08917E-05,1.04651E-05,1.04797E-05,1.00496E-05,9.50639E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77552E-05,6.03821E-05,6.22172E-05,6.09005E-05
Dominica,distribution losses ,Central & South America,1.40305E-06,1.60484E-06,1.42554E-06,2.20516E-06,2.98564E-06,2.67676E-06,3.04313E-06,2.93645E-06,2.96656E-06,2.69205E-06,2.77781E-06,2.65283E-06,2.20769E-06,2.05429E-06,2.2163E-06,2.77015E-06,2.52607E-06,2.97719E-06,3.54021E-06,3.83496E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07409E-06,4.07579E-06,4.19966E-06,4.11078E-06
Dominican Rep.,distribution losses ,Central & South America,0.001270035,0.00131062,0.001721756,0.001993396,0.001695417,0.001741488,0.001886069,0.002238852,0.001548361,0.001202801,0.001241118,0.001234197,0.00162528,0.001450721,0.001508233,0.001397668,0.001313728,0.001731876,0.001708928,0.001622722,0.0010629,0.001083442,0.001096612,0.001112465,0.000879203,0.000969997,0.001045538,0.001045013,0.001070544,0.001064642,0.001108539,0.001127625,0.001179972,0.001192603,0.00116073,0.001203871,0.001234063,0.001257027,0.001280166,0.001257521,0.001118345,0.001094676
Ecuador,distribution losses ,Central & South America,0.00090925,0.001022131,0.001377405,0.00136335,0.001590564,0.001520018,0.001886069,0.001679528,0.001866206,0.001742536,0.001958147,0.002076786,0.001678895,0.001702127,0.001900642,0.001892338,0.001869635,0.00215804,0.002051529,0.00187813,0.001869565,0.001993768,0.002319542,0.00253495,0.002758385,0.002143839,0.002186803,0.002120289,0.002118835,0.001967439,0.001874149,0.001876946,0.001810968,0.001628454,0.001684415,0.001752609,0.00179021,0.001787283,0.001899897,0.002152622,0.002290112,0.002355886
