Country,Features,Region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cameroon,net consumption,Africa,1.325,1.737,2.009,1.952,1.972,2.193,2.044,2.082,2.253,2.364,2.323,2.334,2.318,2.324,2.231,2.203,2.341,2.483,2.505,2.645,2.68272,2.59298,2.49792,2.76264,3.2696,3.25408,3.76074,4.5598,4.94168,5.03024,5.1236,4.64025,4.8346,5.03193,5.27783,6.04655,5.24557,6.061043,6.4962,6.509974,6.336891475,6.084346389
Cameroon,net imports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,0.754,0.729,0.018,0.017,0.018243,0.01937,0.019134,0.02,0.01987146
Cameroon,distribution losses ,Africa,0.107,0.146,0.121,0.144,0.219,0.188,0.311,0.28,0.3,0.304,0.352,0.376,0.377,0.375,0.507,0.608,0.587,0.612,0.629,0.695,0.761,0.909,0.763,0.877,0.79,0.698,0.629,0.49,0.538,0.54,0.58,1.091,1.602,1.879,2.114,1.663,1.693,1.79,1.805,1.864,1.981,1.981
Central African Rep.,net generation,Africa,0.067,0.066,0.07,0.068,0.072,0.077,0.093,0.091,0.092,0.092,0.093,0.092,0.094,0.095,0.099,0.1,0.102,0.104,0.102,0.103,0.105,0.106,0.106,0.107,0.149,0.159,0.166,0.16,0.16,0.159,0.1591,0.1713,0.1744,0.1384,0.1694,0.1694,0.1704,0.1514,0.151,0.15094,0.151,0.151064
Central African Rep.,net consumption,Africa,0.06231,0.06138,0.0651,0.06324,0.06696,0.07161,0.08649,0.08463,0.08556,0.08556,0.08649,0.08556,0.08742,0.08835,0.09207,0.093,0.09486,0.09672,0.09486,0.09579,0.105,0.106,0.106,0.107,0.149,0.159,0.166,0.16,0.16,0.159,0.1591,0.1713,0.1744,0.1284,0.1594,0.1594,0.1604,0.1414,0.141,0.14094,0.141,0.141064
Central African Rep.,net imports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Rep.,distribution losses ,Africa,0.00469,0.00462,0.0049,0.00476,0.00504,0.00539,0.00651,0.00637,0.00644,0.00644,0.00651,0.00644,0.00658,0.00665,0.00693,0.007,0.00714,0.00728,0.00714,0.00721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Chad,net generation,Africa,0.044,0.048,0.049,0.048,0.049,0.051,0.065,0.079,0.076,0.077,0.085,0.082,0.079,0.081,0.08,0.084,0.085,0.085,0.086,0.086,0.086,0.094,0.101,0.108,0.115,0.121,0.122,0.121,0.141,0.172,0.188,0.19082,0.2299,0.26196,0.27794,0.2819,0.29466,0.29936,0.30664,0.30946,0.294781188,0.312431184
Chad,net consumption,Africa,0.04092,0.04464,0.04557,0.04464,0.04557,0.04743,0.06045,0.07347,0.07068,0.07161,0.07905,0.07626,0.07347,0.07533,0.0744,0.07812,0.07905,0.07905,0.07998,0.07998,0.07935,0.087,0.09351,0.09995,0.10646,0.11197,0.1129,0.11197,0.1305,0.15736,0.172,0.17338,0.19465,0.22161,0.23504,0.2384,0.25056,0.25451,0.26119,0.26326,0.248581188,0.263581184
Chad,net imports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,distribution losses ,Africa,0.00308,0.00336,0.00343,0.00336,0.00343,0.00357,0.00455,0.00553,0.00532,0.00539,0.00595,0.00574,0.00553,0.00567,0.0056,0.00588,0.00595,0.00595,0.00602,0.00602,0.00665,0.007,0.00749,0.00805,0.00854,0.00903,0.0091,0.00903,0.0105,0.01464,0.016,0.01744,0.03525,0.04035,0.0429,0.0435,0.0441,0.04485,0.04545,0.0462,0.0462,0.04885
Comoros,net generation,Africa,0.009,0.01,0.01,0.011,0.012,0.014,0.014,0.014,0.014,0.016,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.019,0.028,0.031,0.033,0.042,0.045,0.048,0.044,0.043,0.041,0.045,0.059,0.058,0.055,0.051,0.052,0.057,0.0864,0.092896,0.102296,0.13,0.13832
Comoros,net consumption,Africa,0.00837,0.0093,0.0093,0.01023,0.01116,0.01302,0.01302,0.01302,0.01302,0.01488,0.01395,0.01395,0.01395,0.01395,0.01395,0.01395,0.01488,0.01488,0.01581,0.01581,0.010938,0.019382,0.021826,0.02327,0.029796,0.031796,0.034073,0.03099,0.031046,0.028101,0.02732,0.043043,0.041765,0.039405,0.036406,0.037294,0.040765,0.061142,0.065532,0.072176,0.095,0.101814786
Comoros,net imports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,distribution losses ,Africa,0.00063,0.0007,0.0007,0.00077,0.00084,0.00098,0.00098,0.00098,0.00098,0.00112,0.00105,0.00105,0.00105,0.00105,0.00105,0.00105,0.00112,0.00112,0.00119,0.00119,0.008062,0.008618,0.009174,0.00973,0.012204,0.013204,0.013927,0.01301,0.011954,0.012899,0.01768,0.015957,0.016235,0.015595,0.014594,0.014706,0.016235,0.025258,0.027364,0.03012,0.035,0.036505214
Congo,net generation,Africa,0.151,0.157,0.198,0.231,0.25,0.29,0.267,0.278,0.289,0.396,0.488,0.477,0.424,0.358,0.322,0.35,0.453,0.448,0.341,0.252,0.29294,0.331,0.392,0.39258,0.38998,0.42432,0.44414,0.39968,0.484,0.52346,0.7597,1.25498,1.64732,1.65502,1.68302,2.65874,2.8325,2.84734,2.975348,3.655103,3.83288,4.02026152
Congo,net consumption,Africa,0.144,0.156,0.2,0.192,0.294,0.228,0.369,0.387,0.372,0.386,0.405,0.462,0.44,0.355,0.351,0.355,0.449,0.447,0.324,0.361,0.29394,0.287,0.414,0.38458,0.36298,0.41632,0.46214,0.47868,0.566,0.58446,0.5747,0.61098,0.91532,0.87802,0.85202,1.40474,1.4695,1.52334,1.593348,2.011103,2.12188,2.214975806
Congo,net imports ,Africa,0.007,0.019,0.026,0.057,0.08,0.084,0.129,0.148,0.149,0.061,0.014,0.075,0.108,0.11,0.112,0.115,0.12,0.12,0.126,0.2,0.26,0.25,0.4,0.359,0.404,0.418,0.411,0.449,0.436,0.44,0.281,0.027,0.025,0.037,-0.004,-0.02,-0.001,0,0.002,-0.021,0.002,0.002
Congo,distribution losses ,Africa,0.014,0.02,0.024,0.096,0.036,0.146,0.027,0.039,0.066,0.071,0.097,0.09,0.092,0.113,0.083,0.11,0.124,0.121,0.143,0.091,0.259,0.294,0.378,0.367,0.431,0.426,0.393,0.37,0.354,0.379,0.466,0.671,0.757,0.814,0.827,1.234,1.362,1.324,1.384,1.623,1.713,1.807285714
Dem. Rep. Congo,net generation,Africa,4.388,4.293,4.224,4.561,4.776,5.11,5.342,5.327,5.331,5.866,5.593,5.227,6.011,5.489,5.258,6.114,6.047,4.992,4.68,5.266,5.94182,5.9187,6.05652,6.10458,7.01452,7.32558,7.4638,7.77584,7.45124,7.7549,7.82184,7.81572,7.51856,8.15646,8.74334,8.83928,9.027,9.422095,10.473865,11.080814,11.952925,11.03964133
Dem. Rep. Congo,net consumption,Africa,3.921,3.614,3.561,3.864,4.057,4.366,4.559,4.534,4.672,4.829,4.42,4.384,4.207,3.926,4.031,4.479,4.676,4.386,4.141,4.357,4.53882,4.5667,4.41352,4.57658,4.60852,4.82758,5.6778,6.06784,6.03624,6.5889,6.67484,7.12772,7.66656,8.27246,7.91734,7.17728,7.411,8.585095,9.269865,9.076814,9.878925,8.920147734
Dem. Rep. Congo,net imports ,Africa,-0.097,-0.127,-0.097,-0.101,-0.128,-0.147,-0.184,-0.187,-0.109,-0.305,-0.057,-0.118,-1.228,-1.362,-1.022,-1.428,-1.186,-0.418,-0.349,-0.709,-1.226,-1.19,-1.314,-1.328,-1.394,-1.664,-1.309,-1.326,-0.591,-0.782,-0.755,-0.127,0.578,0.582,1.069,-0.402,-0.4,0.606,0.087,0.137,0.236,0.190506406
Dem. Rep. Congo,distribution losses ,Africa,0.37,0.552,0.566,0.596,0.591,0.597,0.599,0.606,0.55,0.732,1.116,0.725,0.576,0.201,0.205,0.207,0.185,0.188,0.19,0.2,0.177,0.162,0.329,0.2,1.012,0.834,0.477,0.382,0.824,0.384,0.392,0.561,0.43,0.466,1.895,1.26,1.216,1.443,1.291,2.141,2.31,2.31
Côte d'Ivoire,net generation,Africa,1.713,1.875,1.919,1.993,1.558,1.965,2.017,2.369,2.233,2.444,2.221,1.812,1.666,2.123,2.397,2.962,3.127,3.847,3.831,4.627,4.59984,4.6819,5.0631,4.8737,5.1714,5.31188,5.28622,5.27506,5.43616,5.5585,5.62532,5.76334,6.62434,7.20944,7.82182,8.16076,8.94471,10.07241,9.55322,10.02532,10.5748,10.9822272
Côte d'Ivoire,net consumption,Africa,1.433,1.573,1.607,1.683,1.319,1.68,1.719,2.021,1.863,2.092,1.857,1.463,1.293,1.758,2.014,2.519,2.279,2.459,2.724,2.629,2.66284,2.8679,2.8131,2.8557,2.7774,2.78188,3.03922,3.23106,3.47216,3.7095,4.07532,3.80534,4.66734,4.70944,5.75782,5.56776,5.61971,6.60541,6.62522,6.89092,7.5844,7.977315028
Côte d'Ivoire,net imports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034,-0.396,-0.911,-0.593,-1.291,-1.238,-1.156,-1.565,-1.327,-1.409,-1.398,-1.065,-0.772,-0.599,-0.484,-0.346,-0.593,-0.591,-0.82,-0.877,-0.849,-1.227,-1.84,-1.054,-1.1784,-1.2534,-1.267912172
Côte d'Ivoire,distribution losses ,Africa,0.28,0.302,0.312,0.31,0.239,0.285,0.298,0.348,0.37,0.352,0.364,0.349,0.373,0.365,0.383,0.477,0.452,0.477,0.514,0.707,0.699,0.658,0.685,0.691,0.985,1.132,1.182,1.272,1.365,1.365,1.204,1.365,1.366,1.68,1.187,1.744,2.098,1.627,1.874,1.956,1.737,1.737
Djibouti,net generation,Africa,0.11,0.115,0.123,0.139,0.137,0.154,0.16,0.161,0.164,0.165,0.168,0.169,0.169,0.171,0.171,0.173,0.174,0.176,0.176,0.176,0.18,0.179,0.188,0.188,0.202,0.24,0.263,0.304,0.319,0.328,0.356,0.364,0.3675,0.4075,0.0945,0.167632,0.083032,0.055678,0.05552,0.0574,0.054549745,0.058196929
Djibouti,net consumption,Africa,0.1023,0.10695,0.11439,0.12927,0.12741,0.14322,0.1488,0.14973,0.15252,0.15345,0.15624,0.15717,0.15717,0.15903,0.15903,0.16089,0.16182,0.16368,0.16368,0.16368,0.18,0.179,0.188,0.188,0.202,0.24,0.263,0.304,0.319,0.328,0.356,0.364,0.3675,0.4075,0.4395,0.481932,0.532532,0.563878,0.46652,0.4674,0.464549745,0.468196929
Djibouti,net imports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345,0.3143,0.4495,0.5082,0.526,0.53,0.53,0.53
Djibouti,distribution losses ,Africa,0.0077,0.00805,0.00861,0.00973,0.00959,0.01078,0.0112,0.01127,0.01148,0.01155,0.01176,0.01183,0.01183,0.01197,0.01197,0.01211,0.01218,0.01232,0.01232,0.01232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0.12,0.12,0.12
Egypt,net generation,Africa,18.256,20.498,19.939,22.48705,29.31605,32.30005,33.4841,36.7441,35.4011,37.6951,41.4081,42.5601,43.4961,47.7521,50.0701,52.6912,51.7652,55.5322,59.8092,65.1742,74.46166,79.36634,84.81358,90.47044,96.21028,103.16056,109.49924,118.78692,124.2952,131.68096,160.289,157.084,164.398,168.232,175.302,186.317,189.575,196.849384,199.62301,194.609,189.288301,202.2553182
Egypt,net consumption,Africa,15.861,17.749,18.224,20.13405,25.29105,25.32905,29.8871,31.1541,29.7351,32.0611,37.2011,38.1351,38.7831,42.7351,45.1791,47.1512,47.7252,51.7532,55.4512,60.2692,63.55766,68.22234,72.80158,78.82444,83.19628,89.77856,96.58724,105.10492,110.3652,117.40596,143.928,142.179,145.696,143.609,153.899,156.215,150.482,162.493065,164.549589,159.780338,155.352801,168.3228366
Egypt,net imports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154,-0.239,-0.731,-0.886,-0.699,-0.778,-0.349,-0.563,-0.896,-0.935,-1.443,-1.577,-0.397,-0.399,-0.679,-0.693,-0.268,-0.344,-0.571,-0.79,-0.819,-0.815981591
Egypt,distribution losses ,Africa,2.395,2.749,1.715,2.353,4.025,6.971,3.597,5.59,5.666,5.634,4.207,4.425,4.713,5.017,4.891,5.54,4.04,3.779,4.358,4.905,10.75,10.905,11.281,10.76,12.315,12.604,12.563,13.119,13.034,13.34,14.918,13.328,18.305,24.224,20.724,29.409,38.825,34.012319,34.502421,34.038662,33.1165,33.1165
Eq. Guinea,net generation,Africa,0.017,0.015,0.014,0.012,0.015,0.017,0.016,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.021,0.021,0.09484,0.06476,0.11552,0.1268,0.17004,0.2067,0.26592,0.32796,0.45714,0.51448,0.57602,0.65028,0.745,0.957,1.085,1.299,1.398,1.333667,1.354595,1.40149,1.40835,1.41812456
Eq. Guinea,net consumption,Africa,0.01581,0.01395,0.01302,0.01116,0.01395,0.01581,0.01488,0.01581,0.01581,0.01581,0.01581,0.01581,0.01674,0.01674,0.01674,0.01767,0.01767,0.0186,0.01953,0.01953,0.08984,0.05576,0.10652,0.1168,0.15804,0.1777,0.22792,0.28196,0.40114,0.45048,0.50502,0.57228,0.672,0.873,0.961,1.153,1.24,1.183041,1.216559,1.251998,1.267515,1.269944203
Eq. Guinea,net imports ,Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eq. Guinea,distribution losses ,Africa,0.00119,0.00105,0.00098,0.00084,0.00105,0.00119,0.00112,0.00119,0.00119,0.00119,0.00119,0.00119,0.00126,0.00126,0.00126,0.00133,0.00133,0.0014,0.00147,0.00147,0.005,0.009,0.009,0.01,0.012,0.029,0.038,0.046,0.056,0.064,0.071,0.078,0.073,0.084,0.124,0.146,0.158,0.150626,0.138036,0.149492,0.140835,0.148180357
